OK
-1 0 0 0
OK
0 0 0 0
0 0 0 0
OK
OK
0,50,50,0,0,0,0
50,50,50,0,0,70,70
100,50,50,0,0,140,140
150,50,50,1,0,207,210
200,50,50,3,1,272,277
250,50,50,7,6,333,333
300,50,50,17,17,379,378
350,50,50,37,39,405,399
400,50,50,68,70,414,411
450,50,50,109,112,411,405
500,50,50,158,161,400,396
550,50,50,211,215,390,383
600,50,50,269,272,371,369
650,50,50,328,332,357,351
700,50,50,391,393,333,334
750,50,50,454,457,315,310
800,50,50,517,522,297,288
850,50,50,581,588,276,264
900,50,50,645,654,257,242
950,50,50,709,722,238,214
1000,50,50,773,788,219,195
1050,50,50,835,854,206,173
1100,50,50,897,919,190,154
1150,50,50,959,984,174,133
1200,50,50,1019,1048,164,115
1250,50,50,1078,1111,153,99
1300,50,50,1135,1172,147,87
1350,50,50,1191,1232,141,75
1400,50,50,1245,1290,139,67
1450,50,50,1297,1347,139,59
1500,50,50,1348,1401,139,59
1550,50,50,1398,1454,140,57
1600,50,50,1446,1505,146,58
1650,50,50,1493,1554,151,62
1700,50,50,1540,1602,155,66
1750,50,50,1585,1648,165,74
1800,50,50,1629,1692,175,85
1850,50,50,1673,1735,183,96
1900,50,50,1716,1777,194,108
1950,50,50,1759,1818,203,122
2000,50,50,1802,1859,212,134
2050,50,50,1845,1899,221,149
2100,50,50,1889,1938,227,166
2150,50,50,1933,1978,235,178
2200,50,50,1978,2017,240,195
2250,50,50,2023,2056,247,210
2300,50,50,2070,2096,248,222
2350,50,50,2116,2137,255,233
2400,50,50,2163,2179,257,242
2450,50,50,2211,2222,258,250
2500,50,50,2259,2267,260,253
2550,50,50,2308,2313,260,257
2600,50,50,2357,2361,261,257
2650,50,50,2408,2410,257,257
2700,50,50,2458,2460,258,256
2750,50,50,2510,2512,252,250
2800,50,50,2563,2564,247,248
2850,50,50,2615,2618,246,240
2900,50,50,2668,2672,241,235
2950,50,50,2721,2727,237,227
3000,50,50,2774,2783,233,217
3050,50,50,2827,2839,229,209
3100,50,50,2880,2895,225,201
3150,50,50,2933,2952,221,190
3200,50,50,2987,3008,214,184
3250,50,50,3039,3063,214,179
3300,50,50,3092,3118,209,172
3350,50,50,3145,3172,205,168
3400,50,50,3198,3227,201,160
3450,50,50,3249,3281,202,156
3500,50,50,3301,3334,198,154
3550,50,50,3351,3387,201,150
