4 -5 0 0
OK
0 0 0 0
OK
DC_TIMING,run_id=1,n=80,min_ms=6.351,max_ms=6.355,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
1,2,1,2600,0,0,-100,-111,1272,1284,0,-2,129,83,1286,833,11912,1034,974,16010,-681,-214,-446
1,2,1,2650,0,0,-100,-105,1272,1281,0,-3,98,85,977,844,11928,150,-486,17180,-689,147,-535
1,2,1,2700,0,0,-100,-105,1272,1279,0,-2,103,84,1027,836,11932,806,596,16256,-628,28,-385
1,2,1,2750,0,0,-100,-109,1272,1279,0,0,93,84,925,840,11932,572,276,16644,-524,-83,-189
1,2,1,2800,0,0,-100,-106,1272,1278,0,-1,101,84,1002,839,11932,542,242,16686,-575,-63,-20
1,2,1,2850,0,0,-100,-101,1272,1276,0,-2,109,84,1082,839,11932,-376,-948,17810,-582,176,-377
1,2,1,2900,0,0,-100,-105,1272,1276,0,0,112,84,1115,840,11932,1116,1002,15916,-510,-134,-64
1,2,1,2950,0,0,-100,-105,1272,1276,0,0,109,84,1083,841,11928,808,-8,16564,-673,-64,119
1,2,1,3000,0,0,-100,-105,1272,1276,0,0,112,84,1114,843,11932,410,162,16856,-592,-52,167
1,2,1,3050,0,0,-100,-105,1272,1276,0,0,112,84,1116,839,11932,376,284,16736,-569,-46,188
1,2,1,3100,0,0,-100,-105,1272,1276,0,0,112,84,1117,841,11928,386,252,16680,-578,-46,205
1,2,1,3150,0,0,-100,-105,1272,1276,0,0,112,84,1118,839,11928,268,204,16786,-590,-30,179
1,2,1,3200,0,0,-100,-105,1272,1276,0,0,112,84,1111,839,11924,260,220,16812,-588,-28,107
1,2,1,3250,0,0,-100,-105,1272,1276,0,0,111,85,1109,845,11920,324,210,16822,-582,-39,121
1,2,1,3300,0,0,-100,-105,1272,1276,0,0,111,85,1109,844,11932,348,294,16790,-596,-35,101
1,2,1,3350,0,0,-100,-105,1272,1276,0,0,111,88,1110,876,11936,314,218,16806,-595,-20,102
1,2,1,3400,0,0,-100,-105,1272,1276,0,0,112,68,1114,675,11932,348,242,16766,-587,-34,112
1,2,1,3450,0,0,-100,-105,1272,1276,0,0,112,81,1114,811,11932,302,212,16762,-583,-24,107
1,2,1,3500,0,0,-100,-105,1272,1276,0,0,103,85,1030,844,11932,344,252,16758,-573,-31,103
1,2,1,3550,0,0,-100,-105,1272,1276,0,0,111,84,1106,837,11932,344,238,16760,-574,-36,110
1,2,1,3600,0,0,-100,-105,1272,1276,0,0,111,85,1109,844,11936,346,252,16720,-588,-16,114
1,2,1,3650,0,0,-100,-105,1272,1276,0,0,113,85,1126,844,11932,364,242,16704,-570,-38,115
1,2,1,3700,0,0,-100,-105,1272,1276,0,0,112,84,1114,840,11932,338,244,16758,-587,-34,112
1,2,1,3750,0,0,-100,-105,1272,1276,0,0,114,85,1134,844,11932,410,266,16686,-580,-32,105
1,2,1,3800,0,0,-100,-105,1272,1276,0,0,111,84,1110,838,11928,396,242,16724,-595,-30,114
1,2,1,3850,0,0,-100,-105,1272,1276,0,0,103,84,1030,835,11932,344,218,16844,-606,-35,108
1,2,1,3900,0,0,-100,-105,1272,1276,0,0,111,86,1105,863,11936,346,240,16830,-590,-38,111
1,2,1,3950,0,0,-100,-105,1272,1276,0,0,106,89,1051,893,11928,394,246,16680,-584,-57,109
OK
DC_TIMING,run_id=2,n=80,min_ms=6.351,max_ms=6.356,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
2,2,1,0,30,30,252,234,1272,1276,0,0,449,526,4483,5257,11972,252,270,16788,-600,-16,116
2,2,1,50,30,30,286,268,1274,1278,2,2,551,706,5501,7063,11664,1108,1186,16440,-814,-272,-290
2,2,1,100,30,30,318,303,1278,1281,4,3,552,824,5518,8235,11556,2222,626,16278,-723,245,-435
2,2,1,150,30,30,332,326,1288,1288,10,7,991,1073,9910,10724,11388,3342,-458,16736,-595,16,-634
2,2,1,200,30,30,342,340,1303,1300,15,12,982,1044,9812,10434,11320,2402,-240,16752,-331,108,-533
2,2,1,250,30,30,345,343,1323,1318,20,18,1056,1052,10552,10514,11216,2582,290,17502,-472,-208,-540
