1682 1778 0 0
OK
0 0 0 0
OK 0
OK
0,50,50,0,0,0,0,0,0
50,50,50,0,0,70,70,0,0
100,50,50,0,0,140,140,0,0
150,50,50,0,0,210,210,0,0
200,50,50,2,1,272,276,0,0
250,50,50,4,5,339,333,0,0
300,50,50,12,14,384,379,0,0
350,50,50,31,33,403,400,0,0
400,50,50,60,63,410,403,0,0
450,50,50,98,102,407,399,0,0
500,50,50,144,148,395,390,0,0
550,50,50,194,200,387,374,0,0
600,50,50,247,256,377,357,0,0
650,50,50,302,315,366,338,0,0
700,50,50,359,376,352,319,0,0
750,50,50,418,438,335,300,0,0
800,50,50,478,502,319,276,0,0
850,50,50,539,566,302,257,0,0
900,50,50,601,631,283,234,0,0
950,50,50,664,696,263,213,0,0
1000,50,50,727,761,245,192,0,0
1050,50,50,789,825,231,175,0,0
1100,50,50,850,888,218,159,0,0
1150,50,50,911,950,203,145,0,0
1200,50,50,971,1012,192,129,0,0
1250,50,50,1030,1072,182,120,0,0
1300,50,50,1089,1130,170,114,0,0
1350,50,50,1145,1188,169,103,0,0
1400,50,50,1201,1243,161,103,0,0
1450,50,50,1255,1297,160,100,0,0
1500,50,50,1308,1350,158,98,0,0
1550,50,50,1359,1401,161,101,0,0
1600,50,50,1408,1451,166,103,0,0
1650,50,50,1457,1499,167,110,0,0
1700,50,50,1504,1546,175,116,0,0
1750,50,50,1551,1591,179,127,0,0
1800,50,50,1596,1635,190,137,0,0
1850,50,50,1642,1679,193,145,0,0
1900,50,50,1687,1722,202,157,0,0
1950,50,50,1732,1765,209,166,0,0
2000,50,50,1778,1808,212,175,0,0
2050,50,50,1822,1850,224,188,0,0
2100,50,50,1866,1893,232,195,0,0
2150,50,50,1910,1935,240,208,0,0
2200,50,50,1954,1978,248,215,0,0
2250,50,50,2000,2021,249,224,0,0
2300,50,50,2045,2065,258,230,0,0
2350,50,50,2091,2110,261,234,0,0
2400,50,50,2138,2155,263,241,0,0
2450,50,50,2186,2201,263,244,0,0
2500,50,50,2235,2248,263,246,0,0
2550,50,50,2285,2296,261,246,0,0
2600,50,50,2335,2346,261,242,0,0
2650,50,50,2385,2396,261,242,0,0
2700,50,50,2435,2446,261,242,0,0
2750,50,50,2487,2498,254,235,0,0
2800,50,50,2538,2550,254,233,0,0
2850,50,50,2590,2602,249,231,0,0
2900,50,50,2642,2655,247,225,0,0
2950,50,50,2695,2708,241,221,0,0
3000,50,50,2748,2762,237,214,0,0
3050,50,50,2801,2816,233,209,0,0
3100,50,50,2854,2869,229,207,0,0
3150,50,50,2907,2923,225,200,0,0
3200,50,50,2958,2976,228,198,0,0
3250,50,50,3010,3030,223,191,0,0
3300,50,50,3063,3083,217,189,0,0
3350,50,50,3114,3136,220,185,0,0
3400,50,50,3164,3189,222,181,0,0
3450,50,50,3215,3241,219,181,0,0
3500,50,50,3265,3293,221,179,0,0
3550,50,50,3316,3345,218,177,0,0
3600,50,50,3366,3397,220,175,0,0
3650,50,50,3415,3448,223,175,0,0
3700,50,50,3464,3499,224,174,0,0
3750,50,50,3513,3549,225,176,0,0
3800,50,50,3562,3599,226,176,0,0
3850,50,50,3611,3649,227,176,0,0
3900,50,50,3659,3698,232,179,0,0
3950,50,50,3707,3747,234,180,0,0
4000,50,50,3756,3796,234,181,0,0
4050,50,50,3804,3844,239,186,0,0
4100,50,50,3853,3891,239,192,0,0
4150,50,50,3902,3938,240,196,0,0
4200,50,50,3951,3986,241,196,0,0
4250,50,50,4000,4034,242,198,0,0
4300,50,50,4050,4082,240,200,0,0
4350,50,50,4099,4129,243,206,0,0
4400,50,50,4148,4176,244,210,0,0
4450,50,50,4199,4226,239,204,0,0
4500,50,50,4250,4275,238,207,0,0
4550,50,50,4300,4324,240,208,0,0
4600,50,50,4351,4374,237,206,0,0
4650,50,50,4402,4424,236,206,0,0
4700,50,50,4453,4475,235,203,0,0
4750,50,50,4505,4526,230,202,0,0
4800,50,50,4555,4576,234,204,0,0
4850,50,50,4606,4628,231,197,0,0
4900,50,50,4657,4680,230,195,0,0
4950,50,50,4708,4732,229,193,0,0
5000,50,50,4758,4784,231,191,0,0
5050,50,50,4809,4835,228,191,0,0
5100,50,50,4859,4886,230,190,0,0
5150,50,50,4909,4937,230,189,0,0
5200,50,50,4960,4987,227,191,0,0
5250,50,50,5010,5038,229,188,0,0
5300,50,50,5060,5088,229,190,0,0
5350,50,50,5109,5138,232,190,0,0
5400,50,50,5159,5188,230,190,0,0
5450,50,50,5208,5238,233,190,0,0
5500,50,50,5257,5288,234,190,0,0
5550,50,50,5306,5337,235,193,0,0
5600,50,50,5355,5386,236,194,0,0
5650,50,50,5405,5435,234,195,0,0
5700,50,50,5453,5484,241,196,0,0
5750,50,50,5504,5533,233,197,0,0
5800,50,50,5554,5583,235,195,0,0
5850,50,50,5603,5633,238,195,0,0
5900,50,50,5652,5682,239,198,0,0
5950,50,50,5702,5732,237,196,0,0
6000,50,50,5751,5782,240,196,0,0
6050,50,50,5801,5832,238,196,0,0
6100,50,50,5850,5882,241,196,0,0
6150,50,50,5899,5932,242,196,0,0
6200,50,50,5949,5982,240,196,0,0
6250,50,50,5999,6033,240,193,0,0
6300,50,50,6049,6083,240,195,0,0
6350,50,50,6100,6134,237,192,0,0
6400,50,50,6150,6184,239,194,0,0
6450,50,50,6200,6234,239,194,0,0
6500,50,50,6250,6283,239,197,0,0
6550,50,50,6301,6333,236,195,0,0
6600,50,50,6351,6382,238,198,0,0
6650,50,50,6401,6432,238,196,0,0
6700,50,50,6452,6481,235,199,0,0
6750,50,50,6502,6531,237,197,0,0
6800,50,50,6553,6580,234,200,0,0
6850,50,50,6604,6630,233,198,0,0
6900,50,50,6654,6680,235,198,0,0
6950,50,50,6704,6730,235,198,0,0
7000,50,50,6754,6780,235,198,0,0
7050,50,50,6804,6830,235,198,0,0
7100,50,50,6854,6880,235,198,0,0
7150,50,50,6903,6930,238,198,0,0
7200,50,50,6953,6980,236,198,0,0
7250,50,50,7003,7030,236,198,0,0
7300,50,50,7052,7080,239,198,0,0
7350,50,50,7102,7130,237,198,0,0
7400,50,50,7152,7181,237,195,0,0
7450,50,50,7202,7231,237,197,0,0
7500,50,50,7251,7281,240,197,0,0
7550,50,50,7301,7332,238,194,0,0
7600,50,50,7350,7382,241,196,0,0
7650,50,50,7400,7433,239,193,0,0
7700,50,50,7449,7483,242,195,0,0
7750,50,50,7499,7534,240,192,0,0
7800,50,50,7550,7584,237,194,0,0
7850,50,50,7600,7634,239,194,0,0
7900,50,50,7651,7684,236,194,0,0
7950,50,50,7701,7735,238,191,0,0
8000,50,50,7752,7785,235,193,0,0
8050,50,50,7801,7835,240,193,0,0
8100,50,50,7850,7885,241,193,0,0
8150,50,50,7900,7936,239,190,0,0
8200,50,50,7949,7987,242,189,0,0
8250,50,50,7998,8036,243,194,0,0
8300,50,50,8046,8086,248,192,0,0
8350,50,50,8095,8136,248,192,0,0
8400,50,50,8143,8186,253,192,0,0
8450,50,50,8191,8236,255,192,0,0
8500,50,50,8240,8285,255,195,0,0
8550,50,50,8288,8334,260,196,0,0
8600,50,50,8335,8383,266,197,0,0
8650,50,50,8384,8432,263,198,0,0
8700,50,50,8431,8480,271,203,0,0
8750,50,50,8480,8529,268,203,0,0
8800,50,50,8527,8577,276,208,0,0
8850,50,50,8576,8625,273,210,0,0
8900,50,50,8623,8673,281,212,0,0
8950,50,50,8672,8723,278,208,0,0
9000,50,50,8721,8774,279,205,0,0
9050,50,50,8771,8825,277,204,0,0
9100,50,50,8822,8876,274,203,0,0
9150,50,50,8872,8927,276,202,0,0
9200,50,50,8926,8980,262,194,0,0
9250,50,50,8979,9034,260,187,0,0
9300,50,50,9035,9088,245,182,0,0
9350,50,50,9086,9139,254,187,0,0
9400,50,50,9138,9191,249,182,0,0
9450,50,50,9190,9243,247,180,0,0
9500,50,50,9242,9294,245,180,0,0
9550,50,50,9293,9346,245,175,0,0
9600,50,50,9342,9395,250,183,0,0
9650,50,50,9389,9441,258,195,0,0
9700,50,50,9438,9490,255,190,0,0
