39850 -2231 0 0
OK
0 0 0 0
OK
DC_TIMING,run_id=1,n=80,min_ms=6.351,max_ms=6.356,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
1,3,1,2550,0,0,-107,-156,1282,1318,0,-6,218,86,2176,854,11640,-474,-76,16438,-461,-47,-1748
1,3,1,2600,0,0,-107,-152,1282,1313,0,-5,224,93,2233,933,11660,584,406,17240,-587,-11,-1902
1,3,1,2650,0,0,-107,-138,1282,1306,0,-7,146,101,1453,1011,11672,566,116,17144,-499,-109,-1956
1,3,1,2700,0,0,-107,-132,1282,1300,0,-6,148,105,1478,1047,11684,718,-110,16946,-519,-130,-1816
1,3,1,2750,0,0,-107,-120,1282,1293,0,-7,167,105,1669,1053,11688,522,516,16732,-530,-157,-1938
1,3,1,2800,0,0,-107,-111,1282,1286,0,-7,112,106,1111,1055,11704,256,-292,16784,-470,-151,-1878
1,3,1,2850,0,0,-107,-102,1282,1279,0,-7,109,106,1090,1055,11704,496,110,16134,-511,-93,-1712
1,3,1,2900,0,0,-107,-100,1282,1274,0,-5,105,106,1042,1059,11716,566,-22,16706,-636,30,-1799
1,3,1,2950,0,0,-107,-90,1282,1268,0,-6,80,106,800,1061,11708,776,230,16660,-551,-105,-1564
1,3,1,3000,0,0,-107,-78,1282,1261,0,-7,57,106,566,1056,11732,596,148,16806,-518,-31,-1328
1,3,1,3050,0,0,-107,-76,1282,1256,0,-5,58,106,571,1062,11732,618,176,16700,-575,9,-1260
1,3,1,3100,0,0,-107,-73,1282,1252,0,-4,54,109,538,1086,11736,574,80,16816,-555,-4,-1172
1,3,1,3150,0,0,-107,-68,1282,1248,0,-4,53,110,522,1102,11732,1002,368,16410,-561,-22,-957
1,3,1,3200,0,0,-107,-63,1282,1244,0,-4,43,96,430,961,11736,452,82,16544,-576,-36,-938
1,3,1,3250,0,0,-107,-61,1282,1241,0,-3,40,92,392,915,11744,696,552,16594,-646,68,-697
1,3,1,3300,0,0,-107,-57,1282,1238,0,-3,38,100,374,1002,11744,608,20,16906,-580,6,-622
1,3,1,3350,0,0,-107,-60,1282,1237,0,-1,42,106,419,1057,11744,1584,540,17334,-580,-111,-371
1,3,1,3400,0,0,-107,-59,1282,1236,0,-1,35,106,350,1058,11744,654,332,16678,-576,-96,-71
1,3,1,3450,0,0,-107,-54,1282,1234,0,-2,36,106,354,1058,11744,556,392,16642,-586,-53,-40
1,3,1,3500,0,0,-107,-58,1282,1234,0,0,39,106,383,1056,11744,516,224,16716,-609,-41,112
1,3,1,3550,0,0,-107,-58,1282,1234,0,0,38,106,377,1055,11740,510,124,16680,-609,-27,178
1,3,1,3600,0,0,-107,-58,1282,1234,0,0,39,105,381,1052,11744,468,180,16802,-599,-34,229
1,3,1,3650,0,0,-107,-58,1282,1234,0,0,39,106,384,1054,11744,316,-38,16788,-613,-14,203
1,3,1,3700,0,0,-107,-58,1282,1234,0,0,38,105,377,1052,11744,356,120,16794,-606,-31,139
1,3,1,3750,0,0,-107,-58,1282,1234,0,0,38,107,376,1069,11748,500,100,16776,-599,-31,111
1,3,1,3800,0,0,-107,-58,1282,1234,0,0,38,111,376,1110,11748,432,70,16750,-613,-36,116
1,3,1,3850,0,0,-107,-58,1282,1234,0,0,39,111,382,1110,11740,374,96,16768,-600,-31,113
1,3,1,3900,0,0,-107,-58,1282,1234,0,0,38,111,379,1112,11744,424,58,16822,-585,-32,114
1,3,1,3950,0,0,-107,-58,1282,1234,0,0,38,111,376,1109,11744,404,62,16834,-596,-38,112
OK
DC_TIMING,run_id=2,n=80,min_ms=6.351,max_ms=6.356,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
2,3,1,0,30,30,252,234,1281,1234,0,0,254,521,2535,5208,11800,368,36,16836,-602,-31,100
2,3,1,50,30,30,283,265,1284,1237,3,3,581,673,5805,6729,11420,1058,2060,17064,-957,416,73
2,3,1,100,30,30,320,302,1287,1240,3,3,681,988,6802,9882,11332,702,-26,16132,-798,153,98
2,3,1,150,30,30,343,332,1294,1245,7,5,783,1388,7823,13875,11172,2820,1124,16040,-951,280,-923
2,3,1,200,30,30,353,356,1307,1253,13,8,1300,1287,12997,12864,10912,2678,-1572,16874,-368,24,-1380
2,3,1,250,30,30,358,361,1325,1268,18,15,1637,1546,16362,15462,10608,4000,138,18224,-231,267,-220
2,3,1,300,30,30,360,357,1347,1290,22,22,1599,1429,15982,14284,10680,2900,-220,19068,-695,274,249
2,3,1,350,30,30,354,347,1374,1318,27,28,1266,998,12654,9980,10868,2224,884,16096,-767,173,413
2,3,1,400,30,30,348,339,1404,1349,30,31,863,891,8630,8911,11028,2358,-76,16120,-597,46,428
2,3,1,450,30,30,338,327,1437,1383,33,34,782,830,7820,8301,11068,1070,-1416,17176,-333,-234,373
2,3,1,500,30,30,323,311,1473,1420,36,37,751,847,7508,8472,11140,2458,572,13960,-1212,-291,627
2,3,1,550,30,30,315,294,1509,1459,36,39,614,700,6137,7000,11184,90,-2790,19824,-803,-162,726
2,3,1,600,30,30,300,275,1547,1500,38,41,557,681,5570,6807,11252,1336,766,18056,-133,238,1201
2,3,1,650,30,30,282,256,1587,1542,40,42,595,613,5950,6128,11300,1706,1940,14038,-291,-1315,1054
2,3,1,700,30,30,268,232,1627,1586,40,44,458,601,4579,6011,11372,1002,778,17588,55,-771,993
2,3,1,750,30,30,251,216,1668,1629,41,43,351,498,3501,4977,11420,1224,-820,15136,-46,-453,1394
2,3,1,800,30,30,240,191,1708,1674,40,45,379,486,3786,4854,11460,1062,-1630,17322,-535,-246,1162
2,3,1,850,30,30,226,178,1748,1717,40,43,259,435,2585,4353,11516,-894,1556,15290,-264,-113,991
2,3,1,900,30,30,212,153,1788,1762,40,45,188,335,1878,3344,11552,-400,-1552,17690,-1005,113,1200
2,3,1,950,30,30,195,140,1829,1805,41,43,202,292,2019,2917,11588,438,-2922,14372,-808,166,1115
2,3,1,1000,30,30,187,122,1868,1848,39,43,128,265,1278,2648,11604,420,1738,15744,-159,-384,1246
2,3,1,1050,30,30,178,108,1906,1890,38,42,102,288,1011,2877,11636,-132,380,18068,-712,52,1077
2,3,1,1100,30,30,164,92,1945,1932,39,42,78,246,778,2461,11660,756,-2074,16284,-310,-168,1052
2,3,1,1150,30,30,159,79,1982,1973,37,41,72,230,714,2298,11684,-1756,1308,17964,-1078,157,1262
2,3,1,1200,30,30,153,68,2018,2013,36,40,44,219,440,2185,11692,-1156,-1290,17264,-2463,1322,1256
2,3,1,1250,30,30,149,58,2053,2052,35,39,37,194,364,1939,11704,-314,1724,13858,168,-672,1350
2,3,1,1300,30,30,146,49,2087,2090,34,38,33,181,325,1809,11716,1500,1070,16230,233,-229,1190
2,3,1,1350,30,30,151,49,2118,2125,31,35,26,188,259,1878,11720,-170,738,14898,-1300,21,1146
2,3,1,1400,30,30,146,42,2150,2160,32,35,24,200,240,1996,11720,-1534,-4,17014,-1642,684,1025
2,3,1,1450,30,30,154,42,2179,2193,29,33,24,216,232,2155,11724,146,2112,15490,-556,-342,975
2,3,1,1500,30,30,155,42,2208,2225,29,32,23,198,230,1981,11720,254,482,15468,-547,-321,1138
2,3,1,1550,30,30,160,46,2236,2255,28,30,27,222,266,2220,11716,-742,-800,16728,-751,-55,1028
2,3,1,1600,30,30,170,49,2262,2284,26,29,28,265,274,2647,11704,826,-392,15698,-672,57,734
2,3,1,1650,30,30,175,54,2288,2312,26,28,36,279,353,2789,11700,-348,-1508,16464,-745,-92,621
2,3,1,1700,30,30,184,64,2313,2338,25,26,43,310,421,3096,11696,552,640,14736,-594,38,55
2,3,1,1750,30,30,187,73,2339,2363,26,25,53,292,527,2918,11680,-260,242,16626,-290,-266,-37
2,3,1,1800,30,30,196,83,2364,2387,25,24,76,300,752,3001,11672,104,-22,16648,-389,-9,-447
2,3,1,1850,30,30,199,95,2390,2410,26,23,93,292,922,2918,11656,1136,620,15492,-811,-451,-905
2,3,1,1900,30,30,204,112,2416,2431,26,21,129,337,1288,3372,11644,232,-50,16266,-681,-65,-1230
2,3,1,1950,30,30,209,121,2442,2453,26,22,129,366,1282,3657,11620,294,-568,17964,-514,-141,-1432
2,3,1,2000,0,0,-37,-94,2468,2473,26,20,73,18,726,178,11616,58,-662,16862,-232,-128,-1638
2,3,1,2050,0,0,-62,-118,2491,2492,23,19,122,34,1215,339,11740,-1708,-552,17494,-1193,1212,-1432
2,3,1,2100,0,0,-83,-130,2511,2507,20,15,125,60,1243,595,11728,-1210,-694,18182,-130,770,-1121
2,3,1,2150,0,0,-100,-140,2528,2519,17,12,171,86,1704,855,11708,-2192,-1164,17538,-520,30,-937
2,3,1,2200,0,0,-109,-153,2541,2530,13,11,230,99,2291,990,11688,-2366,50,16434,-668,516,-289
2,3,1,2250,0,0,-112,-157,2550,2538,9,8,220,112,2200,1123,11668,-934,292,17624,-784,-544,-636
2,3,1,2300,0,0,-121,-154,2558,2542,8,4,190,128,1899,1276,11668,-2282,266,16814,-628,-89,-832
2,3,1,2350,0,0,-111,-153,2560,2544,2,2,212,115,2111,1150,11652,-1162,378,16824,-563,173,325
2,3,1,2400,0,0,-107,-149,2560,2544,0,0,204,110,2037,1102,11660,-750,378,16964,-571,-848,-14
2,3,1,2450,0,0,-107,-149,2560,2544,0,0,209,95,2084,944,11672,-1588,348,17484,-662,-1575,100
2,3,1,2500,0,0,-107,-149,2560,2544,0,0,185,80,1841,795,11672,2104,-1240,17826,-440,-375,-141
2,3,1,2550,0,0,-104,-135,2559,2540,-1,-4,179,108,1783,1074,11668,676,-666,17026,-772,27,-88
2,3,1,2600,0,0,-103,-140,2558,2539,-1,-1,181,87,1808,872,11688,944,1004,16710,-589,51,-636
2,3,1,2650,0,0,-105,-132,2558,2536,0,-3,170,89,1699,891,11680,320,-808,17510,-735,9,-580
2,3,1,2700,0,0,-105,-128,2558,2533,0,-3,135,93,1348,929,11700,1090,140,16526,-301,-295,-737
2,3,1,2750,0,0,-105,-134,2558,2533,0,0,148,89,1474,890,11696,620,260,17290,-580,-52,-437
2,3,1,2800,0,0,-105,-131,2558,2532,0,-1,141,89,1404,889,11700,414,224,16750,-522,-77,232
2,3,1,2850,0,0,-105,-133,2558,2532,0,0,143,89,1430,888,11700,368,278,16662,-600,-46,173
2,3,1,2900,0,0,-105,-133,2558,2532,0,0,147,89,1466,890,11696,376,72,16666,-597,-30,95
2,3,1,2950,0,0,-105,-133,2558,2532,0,0,144,89,1435,890,11700,378,114,16748,-600,-18,58
2,3,1,3000,0,0,-105,-133,2558,2532,0,0,144,89,1440,888,11696,302,32,16804,-590,-29,52
2,3,1,3050,0,0,-105,-133,2558,2532,0,0,139,89,1390,889,11700,334,66,16696,-599,-30,105
2,3,1,3100,0,0,-105,-133,2558,2532,0,0,142,89,1420,888,11692,346,22,16748,-596,-32,137
